meanTransistionProbabilities1,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.295,0.0434,0.0085,0.183,0.0843,0.0483,0.0025,0.0028,0.0124,0.0,0.0174,0.0488
bII,0.0084,0.0072,0.0014,0.0,0.0021,0.0,0.0,0.0059,0.004,0.0045,0.0034,0.003
II,0.0349,0.035,0.0137,0.0431,0.107,0.0164,0.0007,0.0038,0.0016,0.0021,0.0001,0.0045
bIII,0.0183,0.0073,0.001,0.0377,0.0096,0.0,0.0,0.0027,0.0174,0.0,0.0194,0.0277
III,0.0046,0.0232,0.0097,0.044,0.0156,0.0378,0.0027,0.0055,0.0007,0.0014,0.0,0.0014
IV,0.3018,0.0212,0.0159,0.0683,0.1369,0.018,0.0,0.0005,0.0171,0.0056,0.0112,0.024
bV,0.0041,0.0041,0.0007,0.0055,0.0082,0.0,0.0014,0.0018,0.0,0.0021,0.0037,0.0
V,0.2711,0.0207,0.0144,0.0977,0.0655,0.0327,0.0006,0.0001,0.0032,0.0,0.0099,0.0124
bVI,0.0148,0.0038,0.0,0.0186,0.0164,0.0034,0.0,0.0089,0.0161,0.0007,0.0094,0.0243
VI,0.0317,0.0644,0.0163,0.0526,0.0399,0.0281,0.0026,0.001,0.0,0.0014,0.0046,0.0079
bVII,0.0696,0.0021,0.0,0.0548,0.0133,0.0071,0.0054,0.0005,0.017,0.0,0.0255,0.0225
VII,0.0068,0.0,0.0089,0.0027,0.0014,0.0007,0.0048,0.0,0.0,0.0041,0.0014,0.0007
